연번,시설번호,수리형식,시도명,시군구명,시군구코드,도로명주소,지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할소방서명,소방서전화번호,표지설치여부,설치주체,적색노면표시,비고
20,동부-영운-지상-006-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 중고개로 58 (용암동),충청북도 청주시 상당구 용암동 3273,36.610649037143,127.5209843408,충북 청주시 상당구 중고개로(터널 250M 주변),영운119안전센터,Y,Y,2019,0.5,4,100,청주동부소방서,043-251-0124,,,,
21,동부-영운-지상-005-(공),지상식,충청북도,청주시,43111,"충청북도 청주시 상당구 호미로 14 (용암동, 동남지구 대성베르힐1차, 108동)",충청북도 청주시 상당구 용암동 3273,36.612137202335,127.52068696116,충북 청주시 상당구 중고개로(터널 100M 주변),영운119안전센터,Y,Y,2019,0.5,3.5,100,청주동부소방서,043-251-0124,,,,
22,동부-영운-지상-053-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 동남로109번길 29 (용암동),충청북도 청주시 상당구 용암동 3358,36.6066274894,127.51586335903,코너링 부분,영운119안전센터,Y,Y,2019,0.5,4,100,청주동부소방서,043-251-0124,,,,
23,동부-영운-지상-064-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 동남로41번길 20 (방서동),충청북도 청주시 상당구 방서동 954,36.603322414845,127.51014689356,동남우미린아파트 110동 뒤,영운119안전센터,Y,Y,2019,0.5,4,100,청주동부소방서,043-251-0124,,,,
24,동부-영운-지상-062-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 영운로21번길 11 (영운동),충청북도 청주시 상당구 영운동 191-41,36.617690153652,127.4970088241,씨유 청주명원점 골목,영운119안전센터,Y,Y,1900,0.5,3.8,100,청주동부소방서,043-251-0124,,,,
25,동부-영운-지상-060-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 월평로 266 (방서동),충청북도 청주시 상당구 방서동 801,36.605256406549,127.5109503907,이디야커피 옆,영운119안전센터,Y,Y,2019,0.5,4,100,청주동부소방서,043-251-0124,,,,
26,동부-영운-지상-059-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 월평로 278 (방서동),충청북도 청주시 상당구 방서동 910,36.604460855765,127.51154589254,신협건물 맞은편,영운119안전센터,Y,Y,2019,0.5,5,100,청주동부소방서,043-251-0124,,,,
27,동부-영운-지상-058-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 월평로 277 (용암동),충청북도 청주시 상당구 용암동 3784,36.604227064172,127.51247760246,운동중학교 버스정류장 옆,영운119안전센터,Y,Y,2019,0.5,4,100,청주동부소방서,043-251-0124,,,,
28,동부-영운-지상-046-(공),지상식,충청북도,청주시,43111,"충청북도 청주시 상당구 동남로 2 (방서동, 동남지구 호반써밋 브룩사이드, 103동)",충청북도 청주시 상당구 방서동 925,36.602360422212,127.50592704743,호반써밋 정문 앞,영운119안전센터,Y,Y,2019,0.5,5,100,청주동부소방서,043-251-0124,,,,
29,동부-영운-지상-044-(공),지상식,충청북도,청주시,43111,"충청북도 청주시 상당구 동남로 2 (방서동, 동남지구 호반써밋 브룩사이드, 101동)",충청북도 청주시 상당구 방서동 925,36.602075282872,127.50728870417,동남우미린아파트 버스정류장 옆,영운119안전센터,Y,Y,2019,0.5,5,100,청주동부소방서,043-251-0124,,,,
30,동부-영운-지상-018,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 남사로102번길 33-2 (남주동),충청북도 청주시 상당구 남주동 137-1,36.63031907,127.4867645,이노센트가 옆 인도,영운119안전센터,Y,Y,2000,0.5,4.5,100,청주동부소방서,043-251-0124,,,,
31,동부-영운-지상-179,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 성안로 99-1 (석교동),충청북도 청주시 상당구 석교동 50-6,36.627883181172,127.48963389947,육거리 시장 내 삼성인쇄사 앞,영운119안전센터,N,Y,2009,0.5,3.5,200,청주동부소방서,043-251-0124,,,,
32,동부-영운-지상-169,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 상당로1번길 22 (석교동),충청북도 청주시 상당구 석교동 126-20,36.628270358042,127.48970901981,형제혼수 앞,영운119안전센터,N,Y,2009,0.5,4.4,200,청주동부소방서,043-251-0124,,,,
33,동부-영운-지상-170,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 상당로1번길 32 (석교동),충청북도 청주시 상당구 석교동 125-10,36.62828650364,127.48906905691,세신기물 앞,영운119안전센터,N,Y,2009,0.5,4.5,200,청주동부소방서,043-251-0124,,,,
34,동부-영운-지상-210,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 수영로 219 (금천동),충청북도 청주시 상당구 금천동 97-42,36.624206253473,127.50376119879,공임나라 앞,영운119안전센터,Y,Y,2018,0.5,5,100,청주동부소방서,043-251-0124,,,,
35,동부-영운-지상-209,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 성안로74번길 23 (남문로1가),충청북도 청주시 상당구 남문로1가 328,36.629995835219,127.48810716111,궁전가구 앞,영운119안전센터,Y,Y,2019,0.5,5,100,청주동부소방서,043-251-0124,,,,
36,동부-영운-지상-175,지상식,충청북도,청주시,43111,"충청북도 청주시 상당구 성안로 94 (석교동,청주신협)",충청북도 청주시 상당구 석교동 125-1,36.62848564544,127.48940013124,"석교시장내 형제건어물 맞은편,신원상회 옆",영운119안전센터,N,Y,2009,0.5,3.8,200,청주동부소방서,043-251-0124,,,,
37,동부-영운-지상-213,지상식,충청북도,청주시,43111,"충청북도 청주시 상당구 상당로13번길 15 (남문로1가,청주제일교회)",충청북도 청주시 상당구 남문로1가 154-3,36.629405222773,127.48984477398,"청주제일교회 앞,9.9옷세탁수선집 맞은편",영운119안전센터,Y,Y,2020,0.5,4.5,100,청주동부소방서,043-251-0124,,,,
38,동부-영운-지상-166,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 무심동로284번길 11 (석교동),충청북도 청주시 상당구 석교동 125-202,36.62824003,127.4866636,석교시장내 청주건강원 앞,영운119안전센터,N,Y,2009,0.5,2.5,100,청주동부소방서,043-251-0124,,,,
39,동부-영운-지상-091,지상식,충청북도,청주시,43111,"충청북도 청주시 상당구 상당로1번길 28 (석교동, 새마을금고, 석교지점)",충청북도 청주시 상당구 석교동 125-31,36.628255541958,127.48947693752,석교동 새마을 금고앞,영운119안전센터,N,Y,2007,0.5,4.8,100,청주동부소방서,043-251-0124,,,,
40,동부-영운-지상-177,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 상당로5번길 35 (석교동),충청북도 청주시 상당구 석교동 480,36.628655337422,127.48922232052,석교시장내 금강설렁탕 앞,영운119안전센터,N,Y,2009,0.5,5.1,200,청주동부소방서,043-251-0124,,,,
41,동부-영운-지상-063-(공),지상식,충청북도,청주시,43111,"충청북도 청주시 상당구 월평로254번길 27 (방서동,청주은성교회)",충청북도 청주시 상당구 방서동 912,36.604407402753,127.50877091939,청주은성교회 앞,영운119안전센터,Y,Y,2019,0.5,4,100,청주동부소방서,043-251-0124,,,,
42,동부-영운-지상-178,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 상당로5번길 53 (석교동),충청북도 청주시 상당구 석교동 473,36.628610167314,127.48815152871,석교시장내 황실혼수옆,영운119안전센터,N,Y,2009,0.5,4,200,청주동부소방서,043-251-0124,,,,
43,동부-영운-지상-207,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 성안로74번길 12 (남문로1가),충청북도 청주시 상당구 남문로1가 328,36.630137353788,127.48875651931,에이스침대 앞,영운119안전센터,Y,Y,2018,0.5,4.5,100,청주동부소방서,043-251-0124,,,,
44,동부-영운-지상-176,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 성안로 89 (남문로1가),충청북도 청주시 상당구 남문로1가 157-4,36.628768448753,127.48965626996,육거리시장 내 엘지종합패션 앞,영운119안전센터,N,Y,2009,0.5,4.5,200,청주동부소방서,043-251-0124,,,,
45,동부-영운-지상-206,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 성안로74번길 47 (남주동),충청북도 청주시 상당구 남주동 133-1,36.629647685606,127.48675214037,가구대통령 앞,영운119안전센터,Y,Y,2018,0.5,2,100,청주동부소방서,043-251-0124,,,,
46,동부-영운-지상-095,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 무심동로272번길 31 (석교동),충청북도 청주시 상당구 석교동 470,36.628584519277,127.48781316532,"석교동 지혜수산 맞은편,",영운119안전센터,N,Y,2005,0.5,4,100,청주동부소방서,043-251-0124,,,,
47,동부-영운-지상-032,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 상당로59번길 45 (남문로2가),충청북도 청주시 상당구 남문로2가 83-1,36.63350937,127.4881878,송원식당 맞은편 부근,영운119안전센터,N,Y,2000,0.5,4.5,100,청주동부소방서,043-251-0124,,,,
48,동부-영운-지상-006,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 남사로83번길 44 (서문동),충청북도 청주시 상당구 서문동 229,36.633990687604,127.48464947544,부부꼼장어 옆,영운119안전센터,N,Y,2000,0.5,4.5,100,청주동부소방서,043-251-0124,,,,
49,동부-영운-지상-030,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 무심동로304번길 10 (남주동),충청북도 청주시 상당구 남주동 378,36.629129380359,127.48513332764,남주동 해장국 앞,영운119안전센터,N,Y,2000,0.5,5,100,청주동부소방서,043-251-0124,,,,
50,동부-영운-지상-021,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 남사로112번길 27-1 (남문로1가),충청북도 청주시 상당구 남문로1가 235-2,36.630752102352,127.48772340712,새청주폐백 옆,영운119안전센터,N,Y,2010,0.5,4.8,100,청주동부소방서,043-251-0124,,,,
51,동부-영운-지상-019,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 무심동로336번길 1 (남주동),충청북도 청주시 상당구 남주동 637-1,36.63093081,127.4828839, 대신스틸 앞,영운119안전센터,Y,Y,2010,0.5,5,100,청주동부소방서,043-251-0124,,,,
52,동부-영운-지상-165,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 남일면 효촌송정1길 38,충청북도 청주시 상당구 남일면 효촌리 45-52,36.585252022149,127.51024305401,한일태양빌라 입구,영운119안전센터,Y,Y,2008,0.5,3,100,청주동부소방서,043-251-0124,,,,
53,동부-영운-지상-016,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 사직대로350번길 65 (서문동),충청북도 청주시 상당구 서문동 85-1,36.63361891,127.4864016,서문시장 오거리 한미타올 앞 인도,영운119안전센터,N,Y,2000,0.5,3.4,100,청주동부소방서,043-251-0124,,,,
54,동부-영운-지상-011,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 남사로83번길 3 (서문동),충청북도 청주시 상당구 서문동 229,36.63186511,127.4843311,장수램프,영운119안전센터,N,Y,2000,0.5,4.5,100,청주동부소방서,043-251-0124,,,,
55,동부-영운-지상-217,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 남일면 효촌송암1길 107,충청북도 청주시 상당구 남일면 송암리 594,36.589862981684,127.51976624333,송암자동차 뒤편,영운119안전센터,N,Y,2023,1.0,2.7,100,청주동부소방서,043-251-0124,,,,
56,동부-영운-지상-211,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 남일면 교육원로 51,충청북도 청주시 상당구 남일면 은행리 311-4,36.573134,127.558575,은행리 경로당 앞,영운119안전센터,Y,Y,2019,0.5,6,100,청주동부소방서,043-251-0124,,,,
57,동부-영운-지상-190,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 용정로18번길 19 (용정동),충청북도 청주시 상당구 용정동 1257,36.62847125227,127.51629679556,용정동 1129 신가네 매운떡볶이 우측,영운119안전센터,Y,Y,2012,0.5,5,200,청주동부소방서,043-251-0124,,,,
58,동부-영운-지상-191,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 용정로28번길 11 (용정동),충청북도 청주시 상당구 용정동 1260,36.628953765013,127.5167220689,용정동 1131 시골밥상건물 대각선 맞은편,영운119안전센터,Y,Y,2012,0.5,5,100,청주동부소방서,043-251-0124,,,,
59,동부-영운-지상-033,지상식,충청북도,청주시,43111,"충청북도 청주시 상당구 상당로13번길 15 (남문로1가,청주제일교회)",충청북도 청주시 상당구 남문로1가 328,36.628774862122,127.49028799441,"육거리시장 고향상회옆, 지혜미용실 맞은편",영운119안전센터,N,Y,2000,0.5,4,100,청주동부소방서,043-251-0124,,,,
60,동부-영운-지상-131,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 산성로98번길 24 (금천동),충청북도 청주시 상당구 금천동 473,36.631146969212,127.5048797085, 금천광장 내 어반스토리 앞,영운119안전센터,Y,Y,2007,0.5,3,100,청주동부소방서,043-251-0124,,,,
61,동부-영운-지상-119,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 중고개로224번길 28 (용정동),충청북도 청주시 상당구 용정동 760,36.62443779,127.5135465,"용정동 760 앞 인도상,원룸 맞은편 절개지",영운119안전센터,N,Y,2007,0.5,2,100,청주동부소방서,043-251-0124,,,,
62,동부-영운-지상-133,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 단재로 293 (방서동),충청북도 청주시 상당구 방서동 206-1,36.603940595666,127.5025103253,청주지역 자활센터 앞,영운119안전센터,Y,Y,2007,0.5,2.2,200,청주동부소방서,043-251-0124,,,,
63,동부-영운-지상-092,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 무심동로292번길 19 (석교동),충청북도 청주시 상당구 석교동 125-42,36.628205369078,127.48742785515,석교시장내 우암마늘농산 앞 구 삼성전자,영운119안전센터,N,Y,2000,0.5,4.2,200,청주동부소방서,043-251-0124,,,,
64,동부-영운-지상-171,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 상당로1번길 36 (석교동),충청북도 청주시 상당구 석교동 125-13,36.628247020566,127.48880886849,구름솜 앞,영운119안전센터,N,Y,2009,0.5,4.5,200,청주동부소방서,043-251-0124,,,,
65,동부-영운-지상-172,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 상당로1번길 49 (석교동),충청북도 청주시 상당구 석교동 125-166,36.62808793,127.4881812,아파트닭집 앞,영운119안전센터,N,Y,2009,0.5,4.3,200,청주동부소방서,043-251-0124,,,,
66,동부-영운-지상-168,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 상당로1번길 10 (석교동),충청북도 청주시 상당구 석교동 126-32,36.6283192976,127.49040809068,우경축산물 앞,영운119안전센터,N,Y,2009,0.5,4.5,200,청주동부소방서,043-251-0124,,,,
67,동부-영운-지상-004-(공),지상식,충청북도,청주시,43111,"충청북도 청주시 상당구 호미로 14 (용암동, 동남지구 대성베르힐1차, 108동)",충청북도 청주시 상당구 용암동 3854,36.612960167759,127.52053041393,청주 대성베르힐1단지 어린이집 뒤쪽,영운119안전센터,Y,Y,2019,0.5,3.8,100,청주동부소방서,043-251-0124,,,,
68,동부-영운-지상-173,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 상당로3번길 2 (석교동),충청북도 청주시 상당구 석교동 495,36.628543937128,127.49111107228,석교시장내 유명한꼬마족발앞,영운119안전센터,N,Y,2009,0.5,4.5,200,청주동부소방서,043-251-0124,,,,
69,동부-영운-지상-203,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 단재로293번길 49-1 (방서동),충청북도 청주시 상당구 방서동 92,36.60430417,127.5048207,단재로293번길 49-1,영운119안전센터,Y,Y,2016,0.5,3.6,200,청주동부소방서,043-251-0124,,,,
70,동부-영운-지상-122,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 중고개로248번길 57-2 (금천동),충청북도 청주시 상당구 금천동 384,36.62490574,127.51244,"금천동 384 건물 앞, 원룸 맞은편 절개지",영운119안전센터,N,Y,2007,0.5,2,100,청주동부소방서,043-251-0124,,,,
71,동부-영운-지상-105,지상식,충청북도,청주시,43111,"충청북도 청주시 상당구 용암북로 124-1 (용암동,정일빌딩)",충청북도 청주시 상당구 용암동 2897,36.620393068283,127.51149463149, TT스크린골프 앞,영운119안전센터,Y,Y,2007,0.5,2,100,청주동부소방서,043-251-0124,,,,
72,동부-영운-지상-028,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 용담로 19 (문화동),충청북도 청주시 상당구 문화동 52,36.632443950773,127.49265640566,센트럴칸타빌 103동 앞,영운119안전센터,Y,Y,2000,0.5,4.6,100,청주동부소방서,043-251-0124,,,,
73,동부-영운-지상-208,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 남사로94번길 45 (남주동),충청북도 청주시 상당구 남주동 161-4,36.62976071,127.4856449,삼진가구 앞 대각선 맞은편,영운119안전센터,Y,Y,2018,0.5,5,100,청주동부소방서,043-251-0124,,,,
74,동부-영운-지상-205,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 성안로74번길 58 (남주동),충청북도 청주시 상당구 남주동 158-1,36.62985964,127.4861328,동성사무용가구 앞,영운119안전센터,Y,Y,2018,0.5,5,100,청주동부소방서,043-251-0124,,,,
75,동부-영운-지상-025,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 남사로89번길 53-2 (서문동),충청북도 청주시 상당구 서문동 224-45,36.63481404,127.4854486,청주해물 앞(골동품가게),영운119안전센터,N,Y,2000,0.5,4,100,청주동부소방서,043-251-0124,,,,
76,동부-영운-지상-022,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 성안로74번길 31 (남주동),충청북도 청주시 상당구 남주동 38,36.62992511,127.4876884,청원당 한약방앞,영운119안전센터,N,Y,2000,0.5,4,100,청주동부소방서,043-251-0124,,,,
77,동부-영운-지상-214,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 청남로2197번길 37-2 (석교동),충청북도 청주시 상당구 석교동 60-3,36.627758525985,127.48871913781,"한국생약협회 앞, 육거리 제1주차장 입구 좌측",영운119안전센터,Y,Y,2020,0.5,5,100,청주동부소방서,043-251-0124,,,,
78,동부-영운-지상-215,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 무심동로 274 (석교동),충청북도 청주시 상당구 석교동 133,36.62716231,127.4878745,현대포장 앞,영운119안전센터,Y,Y,2020,0.5,5,200,청주동부소방서,043-251-0124,,,,
79,동부-영운-지상-093,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 청남로2189번길 10 (석교동),충청북도 청주시 상당구 석교동 126-95,36.627072024981,127.48966789839,자연야채유통 앞,영운119안전센터,N,Y,2005,0.5,3.4,100,청주동부소방서,043-251-0124,,,,
80,동부-영운-지상-180,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 성안로 107 (석교동),충청북도 청주시 상당구 석교동 74,36.627511440509,127.48963993299,반찬가게 앞,영운119안전센터,N,Y,2009,0.5,3.5,200,청주동부소방서,043-251-0124,,,,
81,동부-영운-지상-157,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 청남로2190번길 11 (석교동),충청북도 청주시 상당구 석교동 160,36.627166829844,127.49126444501,석교동 효성스즈끼앞,영운119안전센터,Y,Y,2006,0.5,4.9,100,청주동부소방서,043-251-0124,,,,
82,동부-영운-지상-174,지상식,충청북도,청주시,43111,"충청북도 청주시 상당구 상당로13번길 15 (남문로1가,청주제일교회)",충청북도 청주시 상당구 남문로1가 328,36.62876933269,127.49053671983,석교시장내 순자네죽집 앞,영운119안전센터,N,Y,2009,0.5,4.2,200,청주동부소방서,043-251-0124,,,,
83,동부-영운-지상-212,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 성안로74번길 94-6 (남주동),충청북도 청주시 상당구 남주동 637-1,36.62964261,127.4839156,평창송어횟집 앞 주차장,영운119안전센터,Y,Y,2021,0.5,5,100,청주동부소방서,043-251-0124,,,,
84,동부-영운-지상-023,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 남사로112번길 62-2 (남주동),충청북도 청주시 상당구 남주동 628-1,36.629197443015,127.48777510212,"남주시장내 유성부동산 옆 (지혜수산,유성부동산 사이골목)",영운119안전센터,N,Y,2000,0.5,4.5,100,청주동부소방서,043-251-0124,,,,
85,동부-영운-지상-097,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 상당로5번길 15 (석교동),충청북도 청주시 상당구 석교동 126-270,36.628565101994,127.49034815689,육거리 쌍둥이네떡집 안쪽,영운119안전센터,N,Y,2000,0.5,4.5,150,청주동부소방서,043-251-0124,,,,
86,동부-영운-지상-024,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 상당로5번길 34 (남문로1가),충청북도 청주시 상당구 남문로1가 163-1,36.628754252476,127.48927325682,육거리 만물상 옆,영운119안전센터,N,Y,2000,0.5,3.1,100,청주동부소방서,043-251-0124,,,,
87,동부-영운-지상-167,지상식,충청북도,청주시,43111,"충청북도 청주시 상당구 상당로1번길 2 (석교동,유정훈치과의원)",충청북도 청주시 상당구 석교동 126-20,36.628346189221,127.4909896306,육거리족발 앞,영운119안전센터,N,Y,2009,0.5,5,200,청주동부소방서,043-251-0124,,,,
88,동부-영운-지상-149,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 남일면 단재로 708,충청북도 청주시 상당구 남일면 고은리 467-5,36.56862227,127.5101601,로컬프드 앞,영운119안전센터,Y,Y,2006,0.5,3.2,100,청주동부소방서,043-251-0124,,,,
89,동부-영운-지상-012,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 상당로 23 (남문로1가),충청북도 청주시 상당구 남문로1가 114-1,36.63036241281,127.49100242094,새청주약국 현)화인의료시상사앞 인도,영운119안전센터,Y,Y,2000,0.5,4.5,100,청주동부소방서,043-251-0124,,,,
